bulan,nilai_inflasi
Desember,1.87
November,1.75
Oktober,1.66
September,1.6
Agustus,1.59
Juli,1.52
Juni,1.33
Mei,1.68
April,1.42
Maret,1.37
Februari,1.38
Januari,1.55
