bulan,nilai_inflasi
Desember,5.51
November,5.42
Oktober,5.71
September,5.95
Agustus,4.69
Juli,4.94
Juni,4.35
Mei,3.55
April,3.47
Maret,2.64
Februari,2.06
Januari,2.18
