bulan,nilai_inflasi
Desember,1.68
November,1.59
Oktober,1.44
September,1.42
Agustus,1.32
Juli,1.54
Juni,1.96
Mei,2.19
April,2.67
Maret,2.96
Februari,2.98
Januari,2.68
